District,Year-Month,Total_Precipitation_mm,Mean_Temperature_C
Kilinochchi[1],2015-08,29.20,29.16
Kilinochchi[1],2015-09,53.20,28.57
Kilinochchi[1],2015-10,197.00,27.21
Kilinochchi[1],2015-11,464.60,26.06
Kilinochchi[1],2015-12,224.30,25.96
Kilinochchi[1],2016-01,27.50,25.84
Kilinochchi[1],2016-02,17.70,26.82
Kilinochchi[1],2016-03,15.10,28.38
Kilinochchi[1],2016-04,6.50,30.45
Kilinochchi[1],2016-05,191.80,29.28
Kilinochchi[1],2016-06,19.20,29.15
Kilinochchi[1],2016-07,29.30,29.16
Kilinochchi[1],2016-08,13.00,29.33
Kilinochchi[1],2016-09,2.90,29.09
Kilinochchi[1],2016-10,39.50,28.57
Kilinochchi[1],2016-11,161.50,26.27
Kilinochchi[1],2016-12,116.90,25.44
Kilinochchi[1],2017-01,160.70,25.09
Kilinochchi[1],2017-02,16.30,25.05
Kilinochchi[1],2017-03,110.70,26.94
Kilinochchi[1],2017-04,6.60,30.10
Kilinochchi[1],2017-05,48.90,30.09
Kilinochchi[1],2017-06,15.70,30.01
Kilinochchi[1],2017-07,22.40,30.39
Kilinochchi[1],2017-08,57.10,29.23
Kilinochchi[1],2017-09,68.30,28.38
Kilinochchi[1],2017-10,204.00,27.94
Kilinochchi[1],2017-11,372.30,26.03
Kilinochchi[1],2017-12,128.60,25.56
Kilinochchi[1],2018-01,60.00,24.88
Kilinochchi[1],2018-02,19.40,25.70
Kilinochchi[1],2018-03,27.60,27.45
Kilinochchi[1],2018-04,56.70,29.08
Kilinochchi[1],2018-05,89.80,28.75
Kilinochchi[1],2018-06,9.90,29.45
Kilinochchi[1],2018-07,9.80,29.62
Kilinochchi[1],2018-08,18.40,29.23
Kilinochchi[1],2018-09,68.20,28.61
Kilinochchi[1],2018-10,322.60,26.40
Kilinochchi[1],2018-11,434.40,25.81
Kilinochchi[1],2018-12,180.60,25.62
Kilinochchi[1],2019-01,8.80,25.15
Kilinochchi[1],2019-02,34.90,26.57
Kilinochchi[1],2019-03,4.30,28.00
Kilinochchi[1],2019-04,24.30,29.37
Kilinochchi[1],2019-05,11.40,30.76
Kilinochchi[1],2019-06,4.50,30.62
